STATE,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,SEASON,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alaska,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,1.17302,20,8,1705
Arizona,2015,41,71,0,0,0,0,0,Level 2,Minimal,Oct-17-2015,2015-16,1.44689,360,54,24881
Arkansas,2015,41,36,1,0,2.78,2.78,0,Level 1,Minimal,Oct-17-2015,2015-16,0.863984,35,15,4051
California,2015,41,661,3,2,0.76,0.45,0.3,Level 1,Minimal,Oct-17-2015,2015-16,1.5661,653,138,41696
Colorado,2015,41,281,2,0,0.71,0.71,0,Level 2,Minimal,Oct-17-2015,2015-16,0.62028,23,6,3708
Connecticut,2015,41,347,10,3,3.75,2.88,0.86,Level 1,Minimal,Oct-17-2015,2015-16,0.805524,49,16,6083
Delaware,2015,41,41,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.0235738,1,16,4242
District of Columbia,2015,41,0,0,0,0,0,0,Level 0,Insufficient Data,Oct-17-2015,2015-16,0.108932,1,1,918
Florida,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,X,X,X,X
Georgia,2015,41,483,0,2,0.41,0,0.41,Level 2,Minimal,Oct-17-2015,2015-16,1.17165,360,30,30726
Hawaii,2015,41,182,20,1,11.54,10.99,0.55,Level 1,Minimal,Oct-17-2015,2015-16,1.79028,35,20,1955
Idaho,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.354484,10,9,2821
Illinois,2015,41,271,3,0,1.11,1.11,0,Level 2,Minimal,Oct-17-2015,2015-16,1.7586,908,80,51632
Indiana,2015,41,96,1,1,2.08,1.04,1.04,Level 1,Minimal,Oct-17-2015,2015-16,1.1695,79,30,6755
Iowa,2015,41,55,1,0,1.82,1.82,0,Level 1,Minimal,Oct-17-2015,2015-16,0.28746,8,10,2783
Kansas,2015,41,93,2,1,3.23,2.15,1.08,Level 1,Minimal,Oct-17-2015,2015-16,1.02605,78,35,7602
Kentucky,2015,41,231,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.307777,78,27,25343
Louisiana,2015,41,389,2,1,0.77,0.51,0.26,Level 1,Minimal,Oct-17-2015,2015-16,1.81375,840,71,46313
Maine,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.893655,50,28,5595
Maryland,2015,41,46,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.792553,63,30,7949
Massachusetts,2015,41,256,1,1,0.78,0.39,0.39,Level 1,Minimal,Oct-17-2015,2015-16,0.643767,134,43,20815
Michigan,2015,41,534,8,2,1.87,1.5,0.37,Level 1,Minimal,Oct-17-2015,2015-16,0.682377,172,70,25206
Minnesota,2015,41,243,2,0,0.82,0.82,0,Level 1,Minimal,Oct-17-2015,2015-16,1.17073,60,16,5125
Mississippi,2015,41,147,2,0,1.36,1.36,0,Level 1,Minimal,Oct-17-2015,2015-16,2.57163,473,53,18393
Missouri,2015,41,487,2,2,0.82,0.41,0.41,Level 1,Minimal,Oct-17-2015,2015-16,1.26363,102,16,8072
Montana,2015,41,72,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.110092,3,8,2725
Nebraska,2015,41,55,0,2,3.64,0,3.64,Level 1,Minimal,Oct-17-2015,2015-16,0.451722,16,16,3542
Nevada,2015,41,12,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.397966,54,27,13569
New Hampshire,2015,41,23,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.17753,7,21,3943
New Jersey,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.608305,23,14,3781
New Mexico,2015,41,218,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.906883,112,27,12350
New York,2015,41,1239,4,2,0.48,0.32,0.16,Level 1,Minimal,Oct-17-2015,2015-16,0.557203,62,80,11127
North Carolina,2015,41,146,0,2,1.37,0,1.37,Level 1,Minimal,Oct-17-2015,2015-16,1.28871,196,50,15209
North Dakota,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.211119,3,10,1421
Ohio,2015,41,620,1,1,0.32,0.16,0.16,Level 1,Minimal,Oct-17-2015,2015-16,0.650656,123,68,18904
Oklahoma,2015,41,159,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,2.1645,130,28,6006
Oregon,2015,41,117,1,0,0.85,0.85,0,Level 1,Minimal,Oct-17-2015,2015-16,0.889757,41,16,4608
Pennsylvania,2015,41,463,1,1,0.43,0.22,0.22,Level 1,Minimal,Oct-17-2015,2015-16,1.50744,228,53,15125
Rhode Island,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.145864,7,16,4799
South Carolina,2015,41,183,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.874568,38,12,4345
South Dakota,2015,41,109,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.928495,87,34,9370
Tennessee,2015,41,120,1,2,2.5,0.83,1.67,Level 1,Minimal,Oct-17-2015,2015-16,0.604789,49,51,8102
Texas,2015,41,1150,7,15,1.91,0.61,1.3,Level 1,Minimal,Oct-17-2015,2015-16,3.42995,1084,124,31604
Utah,2015,41,362,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,1.05639,204,44,19311
Vermont,2015,41,110,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,0.295334,10,10,3386
Virginia,2015,41,174,1,0,0.57,0.57,0,Level 2,Minimal,Oct-17-2015,2015-16,1.50892,1325,125,87811
Washington,2015,41,239,4,0,1.67,1.67,0,Level 1,Minimal,Oct-17-2015,2015-16,0.730327,40,46,5477
West Virginia,2015,41,373,0,3,0.8,0,0.8,Level 1,Minimal,Oct-17-2015,2015-16,0.978325,181,51,18501
Wisconsin,2015,41,593,0,2,0.34,0,0.34,Level 1,Minimal,Oct-17-2015,2015-16,1.7285,123,24,7116
Wyoming,2015,41,15,1,0,6.67,6.67,0,Level 1,Minimal,Oct-17-2015,2015-16,0.416336,21,23,5044
Puerto Rico,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,2.96902,138,8,4648
Virgin Islands,2015,41,0,0,0,0,0,0,Level 0,Insufficient Data,Oct-17-2015,2015-16,1.79949,7,1,389
New York City,2015,41,0,0,0,0,0,0,Level 1,Minimal,Oct-17-2015,2015-16,1.37565,1404,86,102061
Alabama,2015,42,193,4,1,2.59,2.07,0.52,Level 1,Minimal,Oct-24-2015,2015-16,2.31635,251,29,10836
Alaska,2015,42,0,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.982659,17,7,1730
Arizona,2015,42,74,0,0,0,0,0,Level 2,Minimal,Oct-24-2015,2015-16,1.49271,396,56,26529
Arkansas,2015,42,40,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.997208,50,17,5014
California,2015,42,609,2,0,0.33,0.33,0,Level 1,Minimal,Oct-24-2015,2015-16,1.50411,677,140,45010
Colorado,2015,42,281,1,1,0.71,0.36,0.36,Level 2,Minimal,Oct-24-2015,2015-16,0.528659,19,6,3594
Connecticut,2015,42,313,4,2,1.92,1.28,0.64,Level 1,Minimal,Oct-24-2015,2015-16,0.963763,50,16,5188
Delaware,2015,42,46,1,0,2.17,2.17,0,Level 1,Minimal,Oct-24-2015,2015-16,0.0697188,3,16,4303
District of Columbia,2015,42,0,0,0,0,0,0,Level 0,Insufficient Data,Oct-24-2015,2015-16,0.487805,4,1,820
Florida,2015,42,0,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,X,X,X,X
Georgia,2015,42,503,2,3,0.99,0.4,0.6,Level 2,Minimal,Oct-24-2015,2015-16,1.03207,318,31,30812
Hawaii,2015,42,252,4,0,1.59,1.59,0,Level 1,Minimal,Oct-24-2015,2015-16,1.30685,25,19,1913
Idaho,2015,42,22,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.609989,16,8,2623
Illinois,2015,42,275,3,3,2.18,1.09,1.09,Level 2,Minimal,Oct-24-2015,2015-16,1.6042,806,80,50243
Indiana,2015,42,76,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,1.07755,66,30,6125
Iowa,2015,42,93,3,0,3.23,3.23,0,Level 1,Minimal,Oct-24-2015,2015-16,0.630473,18,10,2855
Kansas,2015,42,69,2,0,2.9,2.9,0,Level 1,Minimal,Oct-24-2015,2015-16,1.05094,85,34,8088
Kentucky,2015,42,234,1,0,0.43,0.43,0,Level 1,Minimal,Oct-24-2015,2015-16,0.318249,82,23,25766
Louisiana,2015,42,407,1,0,0.25,0.25,0,Level 2,Minimal,Oct-24-2015,2015-16,2.04177,964,76,47214
Maine,2015,42,0,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,1.09129,63,28,5773
Maryland,2015,42,62,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,1.44368,116,30,8035
Massachusetts,2015,42,244,0,1,0.41,0,0.41,Level 1,Minimal,Oct-24-2015,2015-16,0.733375,177,44,24135
Michigan,2015,42,541,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.655234,162,70,24724
Minnesota,2015,42,262,1,1,0.76,0.38,0.38,Level 1,Minimal,Oct-24-2015,2015-16,0.78125,45,17,5760
Mississippi,2015,42,148,1,0,0.68,0.68,0,Level 1,Minimal,Oct-24-2015,2015-16,2.59902,521,53,20046
Missouri,2015,42,502,1,0,0.2,0.2,0,Level 2,Minimal,Oct-24-2015,2015-16,1.60311,132,18,8234
Montana,2015,42,68,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.286328,8,7,2794
Nebraska,2015,42,60,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.498287,16,16,3211
Nevada,2015,42,0,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.488183,63,27,12905
New Hampshire,2015,42,10,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.137426,6,21,4366
New Jersey,2015,42,0,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.605908,24,14,3961
New Mexico,2015,42,235,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,1.16146,142,27,12226
New York,2015,42,1262,1,2,0.24,0.08,0.16,Level 1,Minimal,Oct-24-2015,2015-16,0.85962,115,82,13378
North Carolina,2015,42,158,1,0,0.63,0.63,0,Level 1,Minimal,Oct-24-2015,2015-16,1.24048,220,54,17735
North Dakota,2015,42,12,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.232739,3,9,1289
Ohio,2015,42,682,0,4,0.59,0,0.59,Level 1,Minimal,Oct-24-2015,2015-16,0.572453,115,68,20089
Oklahoma,2015,42,171,1,1,1.17,0.58,0.58,Level 1,Minimal,Oct-24-2015,2015-16,2.18176,133,26,6096
Oregon,2015,42,142,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.801527,42,21,5240
Pennsylvania,2015,42,441,3,1,0.91,0.68,0.23,Level 1,Minimal,Oct-24-2015,2015-16,1.61744,230,52,14220
Rhode Island,2015,42,0,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.23129,14,17,6053
South Carolina,2015,42,219,3,0,1.37,1.37,0,Level 2,Minimal,Oct-24-2015,2015-16,1.06744,44,12,4122
South Dakota,2015,42,139,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.818172,76,34,9289
Tennessee,2015,42,171,2,1,1.75,1.17,0.58,Level 1,Minimal,Oct-24-2015,2015-16,0.757878,76,55,10028
Texas,2015,42,1084,4,14,1.66,0.37,1.29,Level 1,Minimal,Oct-24-2015,2015-16,3.63057,1162,122,32006
Utah,2015,42,362,1,1,0.55,0.28,0.28,Level 1,Minimal,Oct-24-2015,2015-16,1.22651,216,42,17611
Vermont,2015,42,118,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.486174,16,10,3291
Virginia,2015,42,55,0,0,0,0,0,Level 3,Minimal,Oct-24-2015,2015-16,1.7641,1565,127,88714
Washington,2015,42,223,1,0,0.45,0.45,0,Level 1,Minimal,Oct-24-2015,2015-16,0.349592,21,46,6007
West Virginia,2015,42,409,1,8,2.2,0.24,1.96,Level 1,Minimal,Oct-24-2015,2015-16,1.31689,237,51,17997
Wisconsin,2015,42,648,1,0,0.15,0.15,0,Level 1,Minimal,Oct-24-2015,2015-16,1.82971,127,25,6941
Wyoming,2015,42,14,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,0.541691,28,24,5169
Puerto Rico,2015,42,0,0,0,0,0,0,Level 3,Minimal,Oct-24-2015,2015-16,4.26033,199,9,4671
Virgin Islands,2015,42,0,0,0,0,0,0,Level 0,Insufficient Data,Oct-24-2015,2015-16,1.03896,4,1,385
New York City,2015,42,0,0,0,0,0,0,Level 1,Minimal,Oct-24-2015,2015-16,1.48518,1485,85,99988
Alabama,2015,43,164,3,4,4.27,1.83,2.44,Level 1,Minimal,Oct-31-2015,2015-16,2.19702,279,26,12699
Alaska,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.531601,9,7,1693
Arizona,2015,43,64,0,0,0,0,0,Level 3,Minimal,Oct-31-2015,2015-16,1.80696,404,53,22358
Arkansas,2015,43,33,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.845899,46,17,5438
California,2015,43,677,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,1.61772,715,151,44198
Colorado,2015,43,332,0,1,0.3,0,0.3,Level 2,Minimal,Oct-31-2015,2015-16,0.440744,18,5,4084
Connecticut,2015,43,335,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,1.42061,51,15,3590
Delaware,2015,43,31,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.123885,5,16,4036
District of Columbia,2015,43,0,0,0,0,0,0,Level 0,Insufficient Data,Oct-31-2015,2015-16,2.58663,53,1,2049
Florida,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,X,X,X,X
Georgia,2015,43,511,3,5,1.57,0.59,0.98,Level 1,Minimal,Oct-31-2015,2015-16,0.847821,257,30,30313
Hawaii,2015,43,228,3,1,1.75,1.32,0.44,Level 1,Minimal,Oct-31-2015,2015-16,1.5625,28,18,1792
Idaho,2015,43,18,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.576271,17,9,2950
Illinois,2015,43,366,8,5,3.55,2.19,1.37,Level 2,Minimal,Oct-31-2015,2015-16,1.77543,842,76,47425
Indiana,2015,43,84,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,1.18121,85,30,7196
Iowa,2015,43,105,3,0,2.86,2.86,0,Level 1,Minimal,Oct-31-2015,2015-16,0.285714,8,10,2800
Kansas,2015,43,97,1,2,3.09,1.03,2.06,Level 1,Minimal,Oct-31-2015,2015-16,1.20738,91,35,7537
Kentucky,2015,43,229,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.423318,118,29,27875
Louisiana,2015,43,293,2,1,1.02,0.68,0.34,Level 1,Minimal,Oct-31-2015,2015-16,1.86562,823,77,44114
Maine,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,1.03147,59,28,5720
Maryland,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,1.44254,121,33,8388
Massachusetts,2015,43,231,0,1,0.43,0,0.43,Level 1,Minimal,Oct-31-2015,2015-16,0.589921,142,41,24071
Michigan,2015,43,541,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.722036,187,71,25899
Minnesota,2015,43,242,1,0,0.41,0.41,0,Level 1,Minimal,Oct-31-2015,2015-16,0.831601,48,18,5772
Mississippi,2015,43,177,2,0,1.13,1.13,0,Level 1,Minimal,Oct-31-2015,2015-16,2.55443,501,53,19613
Missouri,2015,43,486,0,2,0.41,0,0.41,Level 1,Minimal,Oct-31-2015,2015-16,1.13927,98,20,8602
Montana,2015,43,61,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.059453,2,8,3364
Nebraska,2015,43,54,0,1,1.85,0,1.85,Level 1,Minimal,Oct-31-2015,2015-16,0.331583,12,17,3619
Nevada,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.689338,90,28,13056
New Hampshire,2015,43,23,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.20979,9,22,4290
New Jersey,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.426487,19,14,4455
New Mexico,2015,43,208,1,0,0.48,0.48,0,Level 1,Minimal,Oct-31-2015,2015-16,0.995633,114,25,11450
New York,2015,43,1284,6,3,0.7,0.47,0.23,Level 1,Minimal,Oct-31-2015,2015-16,0.816171,107,83,13110
North Carolina,2015,43,147,1,0,0.68,0.68,0,Level 1,Minimal,Oct-31-2015,2015-16,1.40775,227,52,16125
North Dakota,2015,43,19,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.160128,2,10,1249
Ohio,2015,43,781,3,1,0.51,0.38,0.13,Level 1,Minimal,Oct-31-2015,2015-16,0.589923,109,69,18477
Oklahoma,2015,43,147,1,0,0.68,0.68,0,Level 1,Minimal,Oct-31-2015,2015-16,2.18795,122,25,5576
Oregon,2015,43,164,0,1,0.61,0,0.61,Level 1,Minimal,Oct-31-2015,2015-16,0.816957,37,19,4529
Pennsylvania,2015,43,412,1,2,0.73,0.24,0.49,Level 1,Minimal,Oct-31-2015,2015-16,1.35201,222,53,16420
Rhode Island,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.231099,14,17,6058
South Carolina,2015,43,241,1,1,0.83,0.41,0.41,Level 4,Low,Oct-31-2015,2015-16,1.67598,81,13,4833
South Dakota,2015,43,130,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,1.01793,88,33,8645
Tennessee,2015,43,155,0,1,0.65,0,0.65,Level 1,Minimal,Oct-31-2015,2015-16,0.642475,54,51,8405
Texas,2015,43,1093,16,4,1.83,1.46,0.37,Level 1,Minimal,Oct-31-2015,2015-16,3.84937,1152,123,29927
Utah,2015,43,386,1,0,0.26,0.26,0,Level 1,Minimal,Oct-31-2015,2015-16,1.12832,212,44,18789
Vermont,2015,43,98,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.445633,15,10,3366
Virginia,2015,43,165,0,0,0,0,0,Level 2,Minimal,Oct-31-2015,2015-16,1.54868,1341,125,86590
Washington,2015,43,277,1,0,0.36,0.36,0,Level 1,Minimal,Oct-31-2015,2015-16,0.970874,55,37,5665
West Virginia,2015,43,418,0,1,0.24,0,0.24,Level 1,Minimal,Oct-31-2015,2015-16,1.07118,197,52,18391
Wisconsin,2015,43,580,1,0,0.17,0.17,0,Level 1,Minimal,Oct-31-2015,2015-16,1.56403,112,24,7161
Wyoming,2015,43,15,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,0.540324,27,23,4997
Puerto Rico,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,3.55441,179,9,5036
Virgin Islands,2015,43,0,0,0,0,0,0,Level 0,Insufficient Data,Oct-31-2015,2015-16,1.01781,4,1,393
New York City,2015,43,0,0,0,0,0,0,Level 1,Minimal,Oct-31-2015,2015-16,1.45772,1426,91,97824
Alabama,2015,44,254,2,3,1.97,0.79,1.18,Level 1,Minimal,Nov-07-2015,2015-16,2.31715,313,28,13508
Alaska,2015,44,0,0,0,0,0,0,Level 1,Minimal,Nov-07-2015,2015-16,0.947867,10,6,1055
Arizona,2015,44,96,1,0,1.04,1.04,0,Level 3,Minimal,Nov-07-2015,2015-16,1.87283,415,57,22159
Arkansas,2015,44,47,2,0,4.26,4.26,0,Level 1,Minimal,Nov-07-2015,2015-16,0.967296,42,16,4342
California,2015,44,811,9,0,1.11,1.11,0,Level 1,Minimal,Nov-07-2015,2015-16,1.73589,800,157,46086
Colorado,2015,44,384,0,0,0,0,0,Level 1,Minimal,Nov-07-2015,2015-16,0.359595,11,5,3059
Connecticut,2015,44,346,0,0,0,0,0,Level 1,Minimal,Nov-07-2015,2015-16,1.79143,112,18,6252
Delaware,2015,44,48,0,0,0,0,0,Level 1,Minimal,Nov-07-2015,2015-16,0.204918,9,17,4392
District of Columbia,2015,44,0,0,0,0,0,0,Level 0,Insufficient Data,Nov-07-2015,2015-16,5.83764,192,2,3289
